"","x","y","spatial_cluster"
"cell1514",960.179377526045,-3778.44585800543,"14"
"cell1522",1004.72937868163,-3894.81046102382,"14"
"cell1526",965.579377666116,-3871.54186042026,"14"
"cell1528",942.521377068013,-3686.11125561036,"14"
"cell1538",1034.26737944782,-3759.92385752499,"14"
"cell1539",914.819376349449,-3863.76586021855,"14"
"cell1543",1055.4893799983,-3748.36785722524,"14"
"cell1545",943.331377089024,-3761.32785756141,"14"
"cell1546",907.691376164556,-3793.94385840744,"14"
"cell1547",940.03737700358,-3818.67585904896,"14"
"cell1550",907.38037115708,-3551.18137491122,"12"
"cell1554",1014.03037392348,-3520.77937412262,"14"
"cell1555",980.388373050839,-3559.92937513813,"14"
"cell1558",1005.33637369797,-3503.55337367579,"14"
"cell1560",1019.10637405515,-3587.25337584689,"14"
"cell1564",988.86637327075,-3492.59137339145,"14"
"cell1565",909.054371200502,-3522.93937417865,"12"
"cell1574",978.390372999012,-3513.54337393492,"14"
"cell1575",984.27637315169,-3588.38737587631,"14"
"cell1578",892.530370771885,-3512.62537391111,"12"
"cell1580",866.28637009114,-3587.09137584269,"12"
"cell1581",967.104372706264,-3637.63537715375,"14"
"cell1582",1058.09437506646,-3630.56137697026,"14"
"cell1585",931.950371794403,-3579.53137564659,"14"
"cell1586",1023.264374163,-3662.52937779948,"14"
"cell1592",929.304371725768,-3591.41137595475,"14"
"cell1596",911.754371270537,-3629.69737694785,"14"
"cell1597",972.396372843534,-3526.9353742823,"14"
"cell1600",933.408371832222,-3633.6393770501,"14"
"cell1601",930.276371750981,-3534.98137449101,"12"
"cell1602",1059.22837509587,-3660.42337774485,"14"
"cell1604",932.976371821016,-3693.63337860629,"14"
"cell1605",880.218370452523,-3632.01937700808,"12"
"cell1609",1012.41037388146,-3605.23537631333,"14"
"cell1610",887.940370652825,-3594.97537604719,"12"
"cell1611",889.992370706052,-3539.62537461147,"12"
"cell1614",998.262373514473,-3601.29337621108,"14"
"cell1615",881.946370497346,-3577.80337560177,"12"
"cell1616",1028.44837429747,-3544.10737472773,"14"
"cell1627",1024.77852446958,-3320.02039171755,"14"
"cell1629",885.782520864159,-3447.24439501762,"12"
"cell1634",995.888523720205,-3390.43639354408,"14"
"cell1637",971.642523091286,-3309.38239144161,"12"
"cell1640",923.474521841854,-3303.55039129034,"12"
"cell1641",960.950522813946,-3350.36839250475,"12"
"cell1643",953.174522612244,-3348.47839245573,"12"
"cell1644",1001.66652387008,-3455.34439522773,"14"
"cell1646",1017.32652427629,-3331.68439202011,"14"
"cell1647",974.774523172528,-3369.3223929964,"12"
"cell1648",936.812522187829,-3343.34839232266,"12"
"cell1649",1008.84852405638,-3285.35779081844,"12"
"cell1650",921.530521791428,-3414.41239416599,"12"
"cell1652",973.262523133308,-3388.06039348245,"12"
"cell1653",876.116520613432,-3366.29839291796,"12"
"cell1654",899.444521218538,-3322.93639179319,"12"
"cell1655",865.424520336092,-3432.66439463943,"12"
"cell1660",869.258520435542,-3318.18439166993,"12"
"cell1664",1045.78452501446,-3472.30039566755,"14"
"cell1665",880.112520717084,-3383.74039337039,"12"
"cell1668",1042.97652494162,-3443.78839492798,"14"
"cell1670",949.718522522598,-3451.29439512268,"12"
"cell1673",984.11652341485,-3454.04839519411,"14"
"cell1682",896.798521149904,-3451.34839512408,"12"
"cell1688",1031.25852463767,-3455.66839523613,"14"
"cell1690",905.549788851291,-3219.7294431664,"12"
"cell1691",1063.87779295817,-3220.16144317761,"14"
"cell1692",864.461187785491,-3197.69744259492,"12"
"cell1693",995.567791186273,-3110.97344034538,"12"
"cell1695",878.441788148135,-3200.07344265655,"12"
"cell1699",1040.38779234886,-3120.3694405891,"12"
"cell1701",920.021789226681,-3092.23543985933,"12"
"cell1702",974.561790641397,-3203.31344274059,"12"
"cell1703",929.579789474606,-3159.95144161582,"12"
"cell1706",942.107789799571,-3180.47144214809,"12"
"cell1708",920.129789229482,-3235.01144356281,"12"
"cell1711",882.383788250387,-3124.09544068575,"12"
"cell1712",954.041790109128,-3197.10344257951,"12"
"cell1718",885.245788324624,-3103.25144014508,"12"
"cell1720",1013.54979165271,-3140.83544111997,"12"
"cell1722",938.327789701521,-3282.26144478843,"12"
